master_project_code,fiscal_year,quarter,team_size_fte,manager_fte
FPL869HT,2022,3,90.25,8.0
FPL870ST,2022,1,53.52,0.22
FPL870ST,2022,2,12.52,0.0
FPL880ST,2023,1,31.3,0.0
FPL880ST,2023,2,7.3,0.0
FPL880ST,2023,3,6.09,0.0
FPL880ST,2023,4,2.04,0.0
FPL887ST,2022,2,29.26,0.0
FPL887ST,2022,3,45.78,0.0
FPL896ST,2022,4,10.8,0.0
FPL896ST,2023,1,7.56,0.0
FPL897PZ,2022,4,16.53,0.0
FPL900NS,2022,4,12.28,0.0
FPL900NS,2023,1,92.18,3.0
FPL900NS,2023,2,65.87,1.43
FPL900NS,2023,3,60.26,0.0
FPL901IP,2022,4,4.13,0.0
FPL901IP,2023,1,13.36,0.0
FPL901IP,2023,2,14.39,0.0
FPL901IP,2023,3,8.17,0.0
FPL905IP,2023,2,5.3,0.0
FPL905IP,2023,3,8.0,0.0
FPL907IP,2023,2,14.96,0.0
FPL907IP,2023,3,28.74,0.0
FPL910IP,2023,2,0.43,0.0
FPL910IP,2023,3,4.0,0.0
FPL931MP,2024,2,3.3,0.0
FPL931MP,2024,3,3.26,0.0
FPL951MP,2024,2,8.83,0.0
FPL951MP,2024,3,8.0,0.0
FPL953MP,2024,2,29.52,0.0
FPL953MP,2024,3,12.0,0.0
FPL954TZ,2024,2,8.0,0.0
FPL954TZ,2024,3,11.35,0.0
FPL971MP,2024,4,8.0,0.0
FPL971MP,2025,1,2.45,0.0
FPL973MP,2024,4,10.68,0.0
FPL973MP,2025,1,10.68,0.0
FPL973MP,2025,2,3.54,0.0
FPL975MP,2024,4,4.37,0.09
FPL975MP,2025,1,4.07,0.02
FPL980MC,2025,2,0.17,0.0
FPL981MC,2025,2,4.0,0.0
FPL981MC,2025,3,4.74,0.0
FPL983NP,2025,2,1.96,0.0
FPL983NP,2025,3,4.0,0.0
FPL985MP,2025,4,1.38,0.0
FPL985ST,2022,4,63.6,0.0
FPL985ST,2023,1,17.53,0.57
FPL986MP,2025,4,3.96,0.0
FPL986ST,2022,4,38.6,8.0
FPL986ST,2023,1,33.05,3.87
FPLADHYS,2022,2,31.94,0.0
FPLADHYS,2022,3,116.85,0.67
FPLAMPZ3,2022,1,36.75,0.0
FPLAMPZ3,2022,2,50.7,0.0
FPLAMPZ3,2022,3,56.04,0.0
FPLAMPZ3,2022,4,55.64,0.0
FPLAMPZ3,2023,1,56.66,0.01
FPLAMPZ3,2023,2,66.26,0.13
FPLAMPZ3,2023,3,67.61,0.57
FPLAMPZ3,2023,4,61.78,0.0
FPLAMPZ3,2024,1,65.98,0.0
FPLAMPZ3,2024,2,50.65,0.0
FPLAMPZ3,2024,3,34.7,0.0
FPLAMPZ3,2024,4,34.35,0.34
FPLAMPZ3,2025,1,39.32,1.0
FPLAMPZ3,2025,2,38.91,1.0
FPLAMPZ3,2025,3,34.22,1.0
FPLAMPZ3,2025,4,27.73,1.0
FPLAMPZ3,2026,1,28.0,1.0
FPLAMPZ3,2026,2,27.26,0.82
FPLAMPZ3,2026,3,21.7,0.0
FPLAMPZ3,2026,4,5.24,0.0
FPLARIOT,2022,1,54.78,1.32
FPLARIOT,2022,2,19.72,1.35
FPLATSTP,2023,2,5.91,0.0
FPLATSTP,2023,3,8.0,0.0
FPLATSTP,2023,4,2.76,0.0
FPLCEWIS,2022,2,6.26,0.0
FPLCEWIS,2022,3,12.0,0.0
FPLCEWIS,2022,4,12.0,0.0
FPLCEWIS,2023,1,12.0,0.0
FPLCWDCZ,2023,2,10.96,3.39
FPLDCSTP,2022,1,2.25,0.32
FPLDCSTP,2022,2,8.35,1.2
FPLDCSTP,2022,3,7.6,0.94
FPLDRACP,2025,1,34.57,1.91
FPLDRACP,2025,2,16.89,1.33
FPLDWPBR,2022,1,65.03,5.08
FPLDWPBR,2022,2,56.13,4.0
FPLDWPBR,2022,3,52.54,4.22
FPLDWPBR,2022,4,54.21,5.73
FPLDWPBR,2023,1,56.68,0.48
FPLDWPBR,2023,2,44.55,4.0
FPLDWPBR,2023,3,8.22,1.26
FPLEDSTP,2022,1,6.24,0.0
FPLFHAD,2022,1,3.91,0.0
FPLFHAD,2022,2,4.0,0.0
FPLFHAD,2022,3,4.0,0.0
FPLFPCEW,2023,2,12.61,0.61
FPLFPCEW,2023,3,12.0,0.0
FPLFPCEW,2023,4,12.72,0.0
FPLFPCEW,2024,1,8.0,0.0
FPLFPCEW,2024,2,8.0,0.0
FPLFPCEW,2024,3,14.68,0.0
FPLFPCEW,2024,4,6.73,0.0
FPLFPCEW,2025,1,8.0,0.0
FPLFPCEW,2025,2,2.7,0.0
FPLFPMST,2024,2,39.52,0.0
FPLFPMST,2024,3,69.87,0.0
FPLFPMST,2024,4,79.63,0.0
FPLFPMST,2025,1,105.03,0.0
FPLFPMST,2025,2,124.35,0.0
FPLFPMST,2025,3,82.93,0.0
FPLFPMST,2025,4,80.09,0.0
FPLFPMST,2026,1,74.15,0.0
FPLFPMST,2026,2,67.52,0.0
FPLFPMST,2026,3,47.39,0.0
FPLFPMST,2026,4,4.0,0.0
FPLGA1WD,2022,2,1.0,0.0
FPLGA1WD,2022,3,12.0,0.0
FPLGA1WD,2022,4,12.0,0.0
FPLGA1WD,2023,1,12.0,0.0
FPLGA1WD,2023,2,4.0,0.0
FPLGA1WD,2023,3,4.0,0.0
FPLGR2WD,2022,3,2.65,0.0
FPLGUWD,2022,2,3.3,0.0
FPLGUWD,2022,3,8.0,0.0
FPLGUWD,2022,4,8.0,0.0
FPLGUWD,2023,1,7.82,0.0
FPLGUWD,2023,2,9.65,0.0
FPLGUWD,2023,3,14.35,0.0
FPLHRSP,2022,1,6.64,0.0
FPLINASC,2022,1,48.66,0.0
FPLIOTCW,2022,2,40.13,2.26
FPLIOTCW,2022,3,67.65,4.0
FPLIOTCW,2022,4,80.07,5.31
FPLIOTCW,2023,1,77.88,6.0
FPLIOTCW,2023,2,60.09,2.0
FPLIOTCW,2023,3,24.27,1.8
FPLIOTCW,2023,4,2.28,0.07
FPLJIHST,2022,2,19.39,0.0
FPLMABL1,2023,4,6.93,0.0
FPLMABL1,2024,1,8.0,0.0
FPLMABL2,2023,4,1.78,0.0
FPLMABLR,2023,4,30.18,0.0
FPLMABLR,2024,1,24.48,0.0
FPLMABLR,2024,2,24.0,0.0
FPLMABLR,2024,3,20.96,0.0
FPLMANS1,2023,4,90.67,0.0
FPLMANS1,2024,1,74.15,0.0
FPLN945,2022,1,1.32,0.0
FPLN945,2022,2,21.61,0.0
FPLN945,2022,3,15.61,0.0
FPLNEASP,2022,1,0.53,0.0
FPLNEASP,2022,2,20.0,0.0
FPLNEASP,2022,3,24.27,0.0
FPLNEASP,2022,4,31.99,0.0
FPLNEASP,2023,1,12.0,0.0
FPLNEASP,2023,2,20.35,0.38
FPLNEASP,2023,3,24.82,0.81
FPLNEESP,2022,1,21.76,0.0
FPLNEESP,2022,2,31.17,0.0
FPLNEESP,2022,3,23.25,0.0
FPLNEESP,2022,4,15.82,0.0
FPLNEESP,2023,1,39.11,0.0
FPLNEESP,2023,2,34.51,0.83
FPLNEESP,2023,3,29.76,4.0
FPLNSUB1,2022,1,4.0,0.0
FPLNSUB1,2022,2,4.0,0.0
FPLNSUB1,2022,3,4.0,0.0
FPLNSUB1,2022,4,4.0,0.0
FPLNSUB1,2023,1,1.58,0.0
FPLNSUB2,2022,1,4.0,0.0
FPLNSUB2,2022,2,4.0,0.0
FPLNSUB2,2022,3,4.0,0.0
FPLNSUB2,2022,4,4.0,0.0
FPLNSUB2,2023,1,4.0,0.0
FPLNSUB2,2023,2,4.0,0.0
FPLNSUB2,2023,3,4.39,0.0
FPLNSUB3,2022,1,1.27,0.0
FPLNSUB3,2022,2,4.0,0.0
FPLNSUB3,2022,3,4.0,0.0
FPLOCDH1,2023,2,1.3,0.0
FPLOCDH1,2023,3,4.0,0.0
FPLOCDH1,2023,4,10.79,0.0
FPLOCDH1,2024,1,0.93,0.0
FPLOFETV,2023,4,7.29,0.0
FPLOFETV,2024,1,9.67,0.0
FPLOFETV,2024,2,16.01,1.26
FPLOFETV,2024,3,18.5,1.5
FPLONSCH,2022,1,39.26,5.92
FPLONSCH,2022,2,55.65,7.0
FPLONSCH,2022,3,53.57,6.48
FPLONSCH,2022,4,72.88,6.91
FPLONSCH,2023,1,51.31,5.68
FPLONSCH,2023,2,42.99,4.47
FPLONSCH,2023,3,37.04,3.0
FPLONSCH,2023,4,16.71,1.97
FPLOSBLR,2023,1,4.13,0.0
FPLOSBLR,2023,2,21.78,0.0
FPLOSBLR,2023,3,32.87,0.0
FPLOSBLR,2023,4,19.62,2.04
FPLPMPB6,2025,4,7.0,0.0
FPLPMPB6,2026,1,7.0,0.0
FPLPMPB6,2026,2,7.0,0.0
FPLPMPB6,2026,3,7.0,0.0
FPLPMPB7,2025,4,12.0,0.0
FPLPMPB7,2026,1,6.81,0.0
FPLPMPB7,2026,2,4.0,0.0
FPLPMPB7,2026,3,4.0,0.0
FPLPMPH2,2022,1,17.1,0.0
FPLPMPH2,2022,2,18.68,0.0
FPLPMPH2,2022,3,18.2,0.0
FPLPMPH3,2022,4,18.11,0.0
FPLPMPH3,2023,1,22.3,0.0
FPLPMPH3,2023,2,18.12,0.0
FPLPMPH3,2023,3,20.29,0.0
FPLPMPH4,2023,4,8.78,0.0
FPLPMPH4,2024,1,10.2,0.0
FPLPMPH4,2024,2,8.57,0.0
FPLPMPH4,2024,3,11.0,0.0
FPLPMPH5,2023,4,11.15,0.0
FPLPMPH5,2024,1,12.8,0.0
FPLPMPH5,2024,2,14.43,0.0
FPLPMPH5,2024,3,12.0,0.0
FPLPMPH6,2024,4,14.82,0.0
FPLPMPH6,2025,1,15.0,0.0
FPLPMPH6,2025,2,12.13,0.0
FPLPMPH6,2025,3,7.0,0.0
FPLPMPH7,2024,4,8.0,0.0
FPLPMPH7,2025,1,8.0,0.0
FPLPMPH7,2025,2,8.96,0.0
FPLPMPH7,2025,3,12.0,0.0
FPLPTHZ1,2022,1,2.73,0.0
FPLQUSTP,2022,1,6.51,0.0
FPLSCSTP,2022,1,55.38,2.77
FPLSDXBR,2022,2,3.8,0.0
FPLSDXBR,2022,3,18.96,0.0
FPLSDXBR,2022,4,18.96,0.0
FPLSDXBR,2023,1,16.14,0.7
FPLSDXBR,2023,2,17.18,1.99
FPLSDXBR,2023,3,19.92,3.29
FPLSDXBR,2023,4,9.1,0.58
FPLSF2E1,2022,2,2.65,0.0
FPLSF2E1,2022,3,6.48,0.0
FPLSPN,2022,3,4.0,0.0
FPLSUPHZ,2023,2,3.59,0.0
FPLSUPHZ,2023,3,14.22,0.0
FPLSUPHZ,2023,4,12.59,0.0
FPLSUPHZ,2024,1,5.36,0.0
FPLWSATP,2023,4,5.24,0.0
FPLWSATP,2024,1,8.0,0.0
FPLWSATP,2024,2,8.0,0.0
FPLWSATP,2024,3,8.0,0.0
FPM972MP,2024,4,3.47,0.0
FPM972MP,2025,1,4.0,0.0
FPM972MP,2025,2,4.0,0.0
FPM972MP,2025,3,4.0,0.0
FPSNSSTP,2022,1,28.75,0.18
FPSNSSTP,2022,2,70.09,0.0
FPSNSSTP,2022,3,10.13,0.15
FPSNSSTP,2022,4,96.32,3.0
FPSNSSTP,2023,1,62.91,1.11
FPSNSSTP,2023,2,16.39,0.0
HEIVPTID,2023,1,1.32,0.0
HEIVPTID,2023,2,4.0,0.0
HEIVPTID,2023,3,4.17,0.0
HEIVPTID,2023,4,7.6,0.0
HEIVPTID,2024,1,8.0,0.0
HEIVPTID,2024,2,0.96,0.0
HELCISML,2022,4,3.69,0.0
HELIVBLZ,2022,4,4.4,0.0
HELIVBLZ,2023,1,8.0,0.0
HELIVBLZ,2023,2,8.0,0.0
HELIVBLZ,2023,3,8.0,0.0
HELIVBLZ,2023,4,5.38,0.0
HELIVBLZ,2024,1,5.32,0.0
HELIVBLZ,2024,2,4.0,0.0
HELIVBLZ,2024,3,4.0,0.0
HELIVBLZ,2024,4,0.79,0.0
HELIVCBE,2024,4,1.14,0.0
HELIVCBE,2025,1,4.0,0.0
HELIVCBE,2025,2,4.0,0.0
HELIVCBE,2025,3,4.0,0.0
HELIVCBE,2025,4,4.0,0.0
HELIVCBE,2026,1,0.92,0.0
HELIVCHP,2023,2,2.35,0.0
HELIVCHP,2023,3,11.48,0.42
HELIVCHP,2023,4,18.53,1.77
HELIVCHP,2024,1,30.29,1.0
HELIVCHP,2024,2,26.0,1.0
HELIVCHP,2024,3,25.48,0.88
HELIVCHP,2024,4,39.12,1.0
HELIVCHP,2025,1,41.89,1.0
HELIVCHP,2025,2,45.48,0.0
HELIVCHP,2025,3,45.43,0.26
HELIVCHP,2025,4,46.0,0.0
HELIVCHP,2026,1,3.69,0.0
HELIVHZ4,2023,1,4.04,0.0
HELIVHZ4,2023,2,8.0,0.0
HELIVHZ4,2023,3,8.0,0.0
HELIVHZ4,2023,4,5.38,0.0
HELIVHZ4,2024,1,4.0,0.0
HELIVHZ4,2024,2,0.74,0.0
HELIVJPZ,2023,1,3.87,0.0
HELIVJPZ,2023,2,2.7,0.0
HELIVMYP,2022,4,0.36,0.0
HELIVMYP,2023,1,6.68,0.0
HELIVMYP,2023,2,7.74,0.0
HELIVMYP,2023,3,4.87,0.0
HELIVMYP,2024,1,4.0,0.0
HELIVMYP,2024,2,4.0,0.0
HELIVMYP,2024,3,4.0,0.0
HELIVMYP,2024,4,4.0,0.0
HELIVMYP,2025,2,4.0,0.0
HELIVMYP,2025,3,4.0,0.0
HELIVMYP,2025,4,4.0,0.0
HELIVMYP,2026,1,2.15,0.0
HELIVPA6,2023,2,6.78,0.0
HELIVPA6,2023,3,10.22,0.0
HELIVPA6,2023,4,13.91,0.0
HELIVPA6,2024,1,8.53,0.0
HELIVPA6,2024,2,6.65,0.0
HELIVPA6,2024,3,12.0,0.0
HELIVPA6,2024,4,12.0,0.0
HELIVPA6,2025,1,12.0,0.0
HELIVPA6,2025,2,12.0,0.0
HELIVPA6,2025,3,12.0,0.0
HELIVPA6,2025,4,12.0,0.0
HELIVPA6,2026,1,4.88,0.0
HELIVPU6,2022,4,2.62,0.0
HELIVPU6,2023,1,16.0,0.0
HELIVPU6,2023,2,16.43,0.0
HELIVPU6,2023,3,14.43,0.0
HELIVPU6,2023,4,12.0,0.0
HELIVPU6,2024,1,7.69,0.0
HELIVPU6,2024,2,4.0,0.0
HELIVPU6,2024,3,4.0,0.0
HELIVPU6,2024,4,4.0,0.0
HELIVPU6,2025,1,4.0,0.0
HELIVPU6,2025,2,4.0,0.0
HELIVPU6,2025,3,4.0,0.0
HELIVTRZ,2022,4,1.11,0.0
HELIVTRZ,2023,1,0.48,0.0
HELIVVB2,2022,3,6.0,0.0
HELIVVB2,2022,4,4.0,0.0
HELIVVB2,2023,1,7.08,0.0
HELIVVB2,2023,2,10.22,0.0
HELIVVB2,2023,3,17.91,0.0
HELIVVB2,2023,4,13.96,0.0
HELIVVB2,2024,1,10.68,0.0
HELIVVB2,2024,2,13.74,0.0
HELIVVB2,2024,3,18.39,0.0
HELIVVB2,2024,4,16.0,0.0
HELIVVB2,2025,1,7.38,0.0
HELIVVB2,2025,2,5.3,0.0
HELIVVB2,2025,3,8.0,0.0
HELIVVB2,2025,4,8.0,0.0
HELIVVB2,2026,1,1.01,0.0
HELIVVH1,2022,3,13.09,0.0
HELIVVH1,2022,4,29.2,0.0
HELIVVH1,2023,1,38.77,0.0
HELIVVH1,2023,2,41.61,0.0
HELIVVH1,2023,3,45.91,0.0
HELIVVH1,2023,4,38.71,0.0
HELIVVH1,2024,1,50.22,0.0
HELIVVH1,2024,2,46.91,0.0
HELIVVH1,2024,3,34.17,0.0
HELIVVH1,2024,4,33.85,0.0
HELIVVH1,2025,1,28.4,0.0
HELIVVH1,2025,2,27.83,0.0
HELIVVH1,2025,3,28.13,0.0
HELIVVH1,2025,4,27.24,0.0
HELIVVH1,2026,1,5.36,0.0
HELIVVM1,2022,3,8.39,0.0
HELIVVM1,2022,4,21.42,1.38
HELIVVM1,2023,1,36.46,0.79
HELIVVM1,2023,2,55.35,4.0
HELIVVM1,2023,3,46.83,1.35
HELIVVM1,2023,4,41.2,0.0
HELIVVM1,2024,1,28.7,0.0
HELIVVM1,2024,2,34.43,0.0
HELIVVM1,2024,3,37.22,0.0
HELIVVM1,2024,4,29.85,0.0
HELIVVM1,2025,1,25.67,0.0
HELIVVM1,2025,2,34.09,0.0
HELIVVM1,2025,3,32.96,0.0
HELIVVM1,2025,4,32.0,0.0
HELIVVM1,2026,1,5.89,0.0
HELIVVM3,2022,3,4.0,0.0
HELIVVM3,2022,4,2.04,0.0
HELIVVM3,2023,1,7.34,0.0
HELIVVM3,2023,2,8.0,0.0
HELIVVM3,2023,3,8.35,0.0
HELIVVM3,2023,4,8.49,0.0
HELIVVM3,2024,1,8.0,0.0
HELIVVM3,2024,2,8.0,0.0
HELIVVM3,2024,3,8.0,0.0
HELIVVM3,2024,4,8.0,0.0
HELIVVM3,2025,1,8.0,0.0
HELIVVM3,2025,2,8.0,0.0
HELIVVM3,2025,3,8.0,0.0
HELIVVM3,2025,4,6.09,0.0
HELIVVM3,2026,1,1.05,0.0
M1108IVM,2024,2,21.26,0.0
M11102MZ,2022,1,5.36,1.8
M11102MZ,2022,2,14.78,2.98
M11104M1,2022,2,4.82,1.01
M11107M1,2022,2,5.65,0.3
M11115M1,2022,2,4.98,0.0
M11122M1,2022,2,3.39,0.0
M11122M1,2022,3,2.13,0.0
M11134MZ,2022,2,17.23,0.5
M11134MZ,2022,3,20.65,0.0
M11186M1,2022,4,13.76,0.43
M11190MZ,2023,1,14.68,0.0
M11190MZ,2023,2,23.83,1.35
M11190MZ,2023,3,1.22,0.0
M11193MZ,2022,4,16.18,0.31
M11193MZ,2023,1,12.09,0.0
M11193MZ,2023,2,0.3,0.3
M11194MZ,2022,4,13.5,0.1
M11198M1,2022,3,6.43,0.0
M11198M1,2022,4,24.11,1.07
M11198M1,2023,1,4.04,0.0
M1119M1,2022,2,11.07,0.7
M1119M1,2022,3,4.0,0.0
M11203MZ,2022,4,5.38,0.18
M11203MZ,2023,1,10.66,0.14
M11203MZ,2023,2,2.13,1.09
M11205M1,2022,4,34.14,0.0
M11205M1,2023,1,57.22,1.24
M11205M1,2023,2,22.78,0.98
M11205M1,2023,3,28.98,1.63
M11206M1,2022,4,31.29,2.22
M11206M1,2023,1,4.75,0.13
M11207M1,2022,4,18.18,0.0
M11209M1,2022,4,7.58,0.0
M11209M1,2023,1,10.87,0.0
M11210M1,2022,4,21.33,0.0
M11210M1,2023,1,1.32,0.0
M11211M1,2022,4,11.59,0.37
M11219M1,2022,4,7.3,0.71
M11219M1,2023,1,6.64,0.0
M11220M1,2022,4,21.96,2.8
M11220M1,2023,1,5.63,0.0
M11232MZ,2023,1,4.0,0.0
M11232MZ,2023,2,17.13,0.0
M11232MZ,2023,3,3.39,0.0
M19756MZ,2023,4,22.43,0.0
M19756MZ,2024,1,63.93,2.2
M1CFEGPM,2025,2,213.42,9.62
M1CFEGPM,2025,3,216.9,8.99
M1CFEGPM,2025,4,222.34,10.0
M1CFEGPM,2026,1,188.62,9.48
M1CFEGPM,2026,2,141.39,7.0
M1CFEGPM,2026,3,130.7,6.92
M1CFEGPM,2026,4,12.0,0.0
M21013M1,2023,1,10.78,0.99
M21013M1,2023,2,12.91,2.02
M21019M1,2023,1,19.74,3.12
M21019M1,2023,2,8.33,0.0
M21020M1,2023,1,20.04,5.67
M21020M1,2023,2,6.47,0.0
M21022M1,2022,4,3.6,0.0
M21022M1,2023,1,13.98,0.0
M21022M1,2023,2,26.68,0.0
M21022M1,2023,3,5.0,0.0
M21026M1,2022,4,8.04,0.0
M21026M1,2023,1,13.91,0.0
M21028MZ,2023,1,7.25,0.0
M21028MZ,2023,2,13.8,0.0
M21028MZ,2023,3,18.96,0.0
M21028MZ,2023,4,12.29,0.23
M21032MZ,2023,1,10.8,0.0
M21032MZ,2023,2,41.1,0.98
M21032MZ,2023,3,27.97,1.99
M21032MZ,2023,4,18.23,0.0
M21032MZ,2024,1,1.18,0.0
M21035M1,2022,4,0.76,0.0
M21035M1,2023,1,6.36,0.0
M21036M1,2022,4,14.13,0.0
M21036M1,2023,1,22.84,0.0
M21041MZ,2023,1,1.45,0.0
M21052M1,2023,1,18.14,0.0
M21052M1,2023,2,1.97,0.0
M21053M1,2022,4,1.4,0.0
M21053M1,2023,1,11.99,0.0
M21053M1,2023,2,5.3,0.0
M21055M1,2022,4,4.97,0.0
M21055M1,2023,1,48.78,5.24
M21055M1,2023,2,2.26,0.91
M21057M1,2023,1,8.0,0.0
M21058MZ,2023,1,4.64,0.33
M21058MZ,2023,2,29.66,1.3
M21058MZ,2023,3,14.61,0.0
M21068M1,2023,1,8.9,0.07
M21068M1,2023,2,9.27,0.0
M21081M1,2023,1,13.89,0.9
M21081M1,2023,2,11.48,0.0
M21081M1,2023,3,27.42,0.0
M21082MZ,2023,2,6.5,0.0
M21082MZ,2023,3,4.08,0.0
M21083MZ,2023,2,13.13,1.48
M21084MZ,2023,1,4.13,0.0
M21084MZ,2023,2,15.67,0.67
M21091M1,2023,1,28.96,2.78
M21091M1,2023,2,38.25,4.04
M21096M1,2023,1,22.51,3.0
M21096M1,2023,2,97.43,3.91
M21096M1,2023,3,86.98,5.83
M21096M1,2023,4,50.91,3.86
M21104TZ,2023,1,4.0,4.0
M21104TZ,2023,2,4.0,4.0
M21104TZ,2023,3,2.65,2.65
M21107MZ,2023,1,7.91,1.32
M21107MZ,2023,2,12.77,0.0
M21112M1,2023,1,4.18,0.0
M21112M1,2023,2,14.49,0.0
M21113M1,2023,2,3.52,0.0
M21113M1,2023,3,2.0,0.0
M21114M1,2023,2,6.13,0.72
M21115M1,2023,1,1.32,1.32
M21115M1,2023,2,4.0,4.0
M21115M1,2023,3,2.22,1.57
M21117MZ,2023,1,7.3,0.0
M21118M1,2023,1,3.79,0.69
M21118M1,2023,2,9.43,0.0
M21119M1,2023,1,8.87,0.3
M21119M1,2023,2,20.0,0.0
M21119M1,2023,3,26.86,0.72
M21119M1,2023,4,11.62,0.0
M21120M1,2023,1,19.69,1.23
M21120M1,2023,2,81.2,9.35
M21120M1,2023,3,76.28,6.68
M21120M1,2023,4,31.66,0.66
M21122M1,2023,1,12.25,0.0
M21122M1,2023,2,13.48,0.0
M21127M1,2023,1,0.9,0.0
M21127M1,2023,2,4.04,0.0
M21129MZ,2023,1,7.8,0.75
M21129MZ,2023,2,23.46,1.91
M21131M1,2023,1,2.18,0.0
M21140MZ,2023,3,22.5,5.99
M21140MZ,2023,4,115.14,15.54
M21140MZ,2024,1,186.48,11.95
M21140MZ,2024,2,231.22,14.86
M21140MZ,2024,3,183.83,12.01
M21140MZ,2024,4,176.96,5.14
M21140MZ,2025,1,56.4,3.6
M21140MZ,2025,2,1.3,0.0
M21142MZ,2023,3,24.23,5.09
M21142MZ,2023,4,246.0,22.66
M21142MZ,2024,1,283.36,16.97
M21142MZ,2024,2,114.6,8.69
M21142MZ,2024,3,50.66,1.74
M21144M1,2023,1,2.52,0.49
M21144M1,2023,2,2.7,0.0
M21145M1,2023,1,7.23,0.31
M21145M1,2023,2,23.75,2.02
M21147M1,2023,1,1.32,0.0
M21147M1,2023,2,3.39,0.0
M21147M1,2023,3,0.65,0.0
M21148MZ,2023,2,8.92,0.67
M21148MZ,2023,3,8.0,0.0
M21155MZ,2023,1,2.86,0.0
M21155MZ,2023,2,4.7,0.0
M21157MZ,2023,2,5.46,0.0
M21157MZ,2023,3,1.22,0.0
M21158M1,2023,2,26.23,3.0
M21158M1,2023,3,22.87,1.99
M21162CZ,2023,1,1.23,0.0
M21162CZ,2023,2,2.7,0.0
M21163M1,2022,4,6.89,0.0
M21163M1,2023,1,6.64,0.0
M21167MZ,2023,2,5.2,0.0
M21167MZ,2023,3,5.75,0.0
M21176MZ,2023,2,9.68,0.0
M21176MZ,2023,3,5.77,0.72
M21178MZ,2023,2,7.26,0.0
M21181M1,2023,2,6.54,0.27
M21184MZ,2023,2,7.43,0.3
M21184MZ,2023,3,10.89,0.91
M21190MZ,2023,3,9.86,0.7
M21190MZ,2023,4,123.67,4.96
M21190MZ,2024,1,39.35,1.63
M21190MZ,2024,2,26.18,4.7
M21193M1,2023,2,3.78,0.0
M21193M1,2023,3,7.8,0.52
M21196MZ,2023,3,15.37,1.89
M21197MZ,2023,2,0.82,0.0
M21197MZ,2023,3,15.0,0.0
M21201MZ,2023,3,14.32,0.0
M21201MZ,2023,4,8.0,1.87
M21204MZ,2023,2,4.52,0.0
M21204MZ,2023,3,20.7,0.0
M21205M1,2023,3,18.04,0.0
M21211M1,2023,3,0.74,0.0
M21212M1,2023,3,12.52,0.0
M21220MZ,2023,2,0.96,0.0
M21220MZ,2023,3,5.87,0.0
M21230ST,2023,3,3.87,1.27
M21230ST,2023,4,22.96,1.9
M21233MZ,2023,4,17.76,1.98
M21234M1,2023,3,1.65,0.0
M21234M1,2023,4,3.87,0.0
M21240CZ,2023,3,7.17,0.0
M21242MZ,2023,3,6.64,0.0
M21244MZ,2024,3,12.04,0.0
M21251MZ,2023,3,31.6,1.92
M21257MZ,2023,3,20.13,1.24
M21257MZ,2023,4,40.44,1.4
M21260MZ,2023,3,5.13,0.43
M21260MZ,2023,4,17.62,0.76
M21270MZ,2023,4,20.32,0.0
M21274MZ,2023,3,38.88,2.9
M21276MZ,2023,3,1.78,0.0
M21277MZ,2023,4,0.27,0.0
M21277MZ,2024,1,15.26,0.0
M21280M2,2023,3,4.68,0.49
