contract_type,pseudo_fp,customer_name,master_project_code,maintenance_flag,tbb,fiscal_year,quarter,onsite_revenue,offshore_revenue,total_revenue,onsite_billed_months,offshore_billed_months,total_billed_months,operating_margin,total_cost_of_revenue_direct,total_operating_cost,revenue_productivity,start_date,end_date
FP,true,Hi-Tech,MSNDPCSZ,Non-Maintenance,,2025,3,0.0,0.0,287.6082879959615,16.54,0.0,16.54,94.59076839282267,177.80699736256895,193.01751960313885,17388.7,2024-07-01,2025-06-30
TM,true,Hi-Tech,MSFSTRST,Non-Maintenance,,2025,3,72.00077363602479,0.0,72.00077363602479,3.806451612903226,0.0,3.806451612903226,26.704823785527033,40.22546985990233,45.295949850497756,18915.5,2019-10-09,2025-06-30
OTM,true,Hi-Tech,MSSCMJSZ,Non-Maintenance,TBB-T&M,2025,3,0.0,0.0,12.46926507828631,0.0,0.0,0.0,12.250989256313849,0.0,0.21827582197246187,inf,2024-08-19,2026-12-31
FP,true,Hi-Tech,MSPXMCAE,Non-Maintenance,,2025,3,0.0,0.0,937.2857333863503,27.640860215053763,135.30107526881721,162.9419354838709,371.6852547066295,393.76010206269416,565.6004786797208,5752.3,2024-09-01,2025-06-30
OTM,true,Hi-Tech,MSCSUPEZ,Non-Maintenance,TBB-T&M,2025,3,0.0,0.0,581.5895332839068,0.0,170.8913978494623,170.8913978494623,300.42609668195746,99.65540252572714,281.16343660194934,3403.3,2024-05-09,2027-06-30
FP,true,Hi-Tech,MS3CPZ51,Non-Maintenance,,2025,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.047159110621342565,0.0,0.047159110621342565,-nan,2023-07-01,2024-09-30
FP,true,Hi-Tech,MSGIGAH1,Non-Maintenance,,2025,4,0.0,0.0,414.189886336363,25.577419354838707,24.75460829493087,50.33202764976957,114.62908982355404,233.90516997285135,299.5607965128089,8229.2,2024-07-01,2027-06-30
FP,true,Hi-Tech,MSPXMCAE,Non-Maintenance,,2025,4,0.0,0.0,1106.4030428787141,30.15207373271889,175.6900921658986,205.84216589861734,409.41235813570614,462.9889131631561,696.9906847430079,5375.0,2024-09-01,2025-06-30
OTM,true,Hi-Tech,MSCECSH2,Maintenance,TBB-T&M,2025,4,0.0,0.0,17.01332241202422,9.0,55.94016129032258,64.94016129032262,-135.47554450832288,95.41095266625999,152.4888669203471,262.0,2023-08-01,2026-06-30
OTM,true,Hi-Tech,MSPRESEZ,Maintenance,TBB-T&M,2023,2,0.0,0.0,217.92681748683736,3.0,49.38172043010754,52.38172043010754,24.975095969043906,134.74681580726167,192.95172151779346,4160.4,2021-06-01,2023-05-31
FP,true,Hi-Tech,MSCFSENG,Non-Maintenance,,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.16550819519931492,0.0,0.16550819519931492,-nan,2020-07-01,2022-06-30
FP,true,Hi-Tech,MSMICSPZ,Non-Maintenance,,2024,2,0.0,0.0,246.42787097318927,16.41935483870968,2.709677419354839,19.12903225806452,56.399807868073445,165.39630342415512,190.02806310511582,12882.4,2023-07-01,2024-06-30
FP,true,Hi-Tech,MSCHC301,Maintenance,,2023,1,0.0,0.0,76.20695529445891,0.0,22.60322580645162,22.60322580645162,18.006123941576796,28.599614079732113,58.20083135288211,3371.5,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSMADET,Non-Maintenance,,2023,2,0.0,0.0,366.64744358155536,6.0,75.12903225806451,81.12903225806446,176.46201568798125,114.8373868935773,190.18542789357411,4519.3,2022-07-01,2023-06-30
FP,true,Hi-Tech,MSHRC403,Maintenance,,2023,2,0.0,0.0,23.3505564759036,0.0,0.0,0.0,23.405144205132636,-0.3242653700568444,-0.05458772922903776,inf,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSCRMMP2,Maintenance,,2022,3,0.0,0.0,218.76577478502438,15.0,21.7,36.7,27.955592203621432,144.11983639160678,190.81018258140296,5960.9,2021-09-01,2021-12-31
FP,true,Hi-Tech,MSLEP402,Non-Maintenance,,2023,2,0.0,0.0,85.90228961508575,0.0,20.935483870967744,20.935483870967744,39.225710039035306,22.395810410955782,46.67657957605044,4103.2,2022-06-01,2023-06-30
TM,true,Hi-Tech,MSINDTPM,Non-Maintenance,,2022,3,-0.655527346387575,32.77636731937881,32.12083997299118,0.0,3.0,3.0,18.014082094661788,11.11624006294066,14.10675787832939,10706.9,2021-06-01,2022-10-25
FP,true,Hi-Tech,MSCPTST1,Maintenance,,2024,2,0.0,0.0,413.93542441608236,26.02860215053764,41.61720430107526,67.64580645161291,96.78204122447346,245.10887660965938,317.1533831916089,6119.2,2022-07-01,2023-09-30
FP,true,Hi-Tech,MSCRMDTP,Non-Maintenance,,2023,2,0.0,0.0,373.49275241345117,10.525806451612901,54.68494623655914,65.21075268817205,138.05374633941108,162.79652746605137,235.4390060740401,5727.5,2021-07-01,2023-06-30
TM,true,Hi-Tech,MSIDCY20,Non-Maintenance,,2022,2,0.0,0.0,0.0,0.0,0.0,0.0,2.527523945320031,-0.0105256028176646,-2.527523945320031,-nan,2020-07-01,2021-06-30
FP,true,Hi-Tech,MSCSME12,Non-Maintenance,,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,0.00858917933130699,0.0,-0.00858917933130699,-nan,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSTMYSTP,Maintenance,,2024,1,0.0,0.0,92.77538509591983,6.182967741935483,0.0,6.182967741935483,14.273276103747651,62.34630879704845,78.50210899217218,15005.0,2022-07-01,2023-09-30
FP,true,Hi-Tech,MSSTOR01,Maintenance,,2024,4,0.0,0.0,345.39150857924767,22.37068965517241,14.418242491657395,36.78893214682981,33.95911524892571,284.2614772419405,311.43239333032193,9388.5,2023-07-01,2024-06-30
FP,true,Hi-Tech,MSCXDHYD,Non-Maintenance,,2024,4,0.0,0.0,678.7713175773513,24.317018909899883,177.516129032258,201.833147942158,76.71435377573022,394.01896159211583,602.0569638016211,3363.0,2023-05-01,2024-06-30
TM,true,Hi-Tech,MSRESPZ1,Non-Maintenance,,2023,2,9.103942018072287,66.18520110460804,75.28914312268027,0.483870967741936,15.5,15.98387096774194,21.935491916185093,30.36456346083358,53.35365120649518,4710.3,2020-10-15,2023-04-30
FP,true,Hi-Tech,MSISDBST,Non-Maintenance,,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.005050386609629017,-0.00517885744794447,-0.005050386609629017,-nan,2020-10-01,2021-06-30
FP,true,Hi-Tech,MSSCUS2D,Maintenance,,2022,1,0.0,0.0,622.8911423793711,31.504301075268813,56.73870967741935,88.24301075268812,-91.19826973915454,541.6369068661265,714.0894121185256,7058.8,2020-07-01,2021-06-30
OTM,true,Hi-Tech,MSCCNHST,Non-Maintenance,TBB-T&M,2024,4,0.0,0.0,360.3546030422442,0.0,150.1362625139044,150.1362625139044,32.77154446464816,169.92365740232634,327.58305857759603,2400.2,2023-05-08,2030-03-31
FP,true,Hi-Tech,MSAGIM23,Maintenance,,2024,1,0.0,0.0,90.40623609771828,3.0,23.0,26.0,25.52942531827273,38.37576606488681,64.87681077944555,3477.2,2022-08-01,2023-06-30
FP,true,Hi-Tech,MSMBO402,Maintenance,,2022,1,0.0,0.0,261.5113839124517,12.0,11.463440860215059,23.46344086021506,86.50494196507512,142.68271993254427,175.0064419473766,11145.5,2021-01-01,2021-06-30
FP,true,Hi-Tech,MSPSSGST,Maintenance,,2024,1,0.0,0.0,189.37532001873114,0.0,88.70967741935485,88.70967741935485,22.709104354549552,75.20469680367387,166.6662156641816,2134.8,2022-07-01,2023-06-30
FP,true,Hi-Tech,MSOFS301,Maintenance,,2024,3,0.0,0.0,1240.0852118517282,45.837634408602135,55.726021505376345,101.56365591397844,583.8044802379831,534.4649928564417,656.2807316137452,12209.9,2022-07-01,2024-06-30
FP,true,Hi-Tech,MCRMBAPM,Non-Maintenance,,2024,4,0.0,0.0,851.376544457934,32.354838709677416,111.67185761957731,144.02669632925466,330.7317675406093,369.3103364870209,520.6447769173246,5911.2,2023-08-01,2024-06-30
FP,true,Hi-Tech,MSCIO302,Maintenance,,2022,4,0.0,0.0,304.1916295707153,14.09792626728111,29.65668202764978,43.75460829493089,63.488137498204985,185.38265450236864,240.7034920725103,6952.2,2021-07-01,2022-07-31
FP,true,Hi-Tech,MSORUS2D,Non-Maintenance,,2023,2,0.0,0.0,-62.779011305617715,0.483870967741936,1.483870967741936,1.9677419354838719,-229.69877264161923,71.33054142767675,166.9197613360015,-31904.1,2018-07-01,2022-07-31
FP,true,Hi-Tech,MSGPDHYD,Non-Maintenance,,2023,3,0.0,0.0,137.7132888243588,4.634408602150538,22.44193548387096,27.0763440860215,50.60340317545746,60.32669938005017,87.10988564890135,5086.1,2022-10-01,2023-06-30
FP,true,Hi-Tech,MSCISCOS,Maintenance,,2024,1,0.0,0.0,284.08640733784966,3.0,65.70107526881718,68.70107526881718,144.5707193569339,68.77911420850143,139.51568798091577,4135.1,2021-07-01,2023-08-01
FP,true,Hi-Tech,MSIDMAST,Non-Maintenance,,2022,1,0.0,0.0,70.89020506994497,0.0,21.6731182795699,21.6731182795699,29.616898662764832,19.389641740593603,41.27330640718014,3270.9,2020-07-01,2021-06-30
FP,true,Hi-Tech,MSCLEHYD,Non-Maintenance,,2025,1,0.0,0.0,135.8846522162906,28.5,0.0,28.5,-44.0800772369748,104.74219986422483,179.9647294532654,4767.9,2023-06-12,2024-06-30
TM,true,Hi-Tech,MSCSSWPM,Maintenance,,2025,1,50.10315272486629,15.25052146926812,65.35367419413441,3.0,3.0,6.0,16.72182125487245,41.64091830793013,48.63185293926196,10892.3,2023-11-01,2024-06-30
OTM,true,Hi-Tech,MSDTEEB1,Maintenance,TBB-T&M,2025,2,0.0,0.0,10.56725065055768,0.0,4.0,4.0,0.9375427489637428,5.017958955527318,9.629707901593937,2641.8,2024-08-01,2030-03-31
FP,true,Hi-Tech,MSKALKEN,Non-Maintenance,,2025,4,0.0,0.0,104.66713175334945,3.0,0.0,3.0,10.768377861261952,92.99570197046523,93.8987538920875,34889.0,2024-05-01,2025-03-31
OTM,true,Hi-Tech,MSCNCHDZ,Non-Maintenance,TBB-T&M,2025,4,0.0,0.0,307.15294904306774,0.0,167.1198156682028,167.1198156682028,-3.9207424424137685,114.82177815213497,311.0736914854815,1837.9,2023-05-23,2030-03-31
FP,true,Hi-Tech,MSCOD301,Non-Maintenance,,2023,1,0.0,0.0,15.59469912068306,0.0,3.533333333333333,3.533333333333333,6.206203007518794,4.871427297056197,9.388496113164265,4413.6,2022-06-01,2023-06-30
FP,true,Hi-Tech,MSMICSPZ,Non-Maintenance,,2024,4,0.0,0.0,377.44858219009257,25.19354838709677,2.0,27.19354838709677,72.98460862768592,274.17210012501664,304.46397356240664,13880.1,2023-07-01,2024-06-30
FP,true,Hi-Tech,MSLANDH5,Maintenance,,2022,1,0.0,0.0,375.9112623886294,6.61966666666667,34.30052688172043,40.920193548387104,199.59772249396866,111.44279795994868,176.31353989466072,9186.4,2020-07-01,2021-07-31
FP,true,Hi-Tech,MSADSRTP,Non-Maintenance,,2023,1,0.0,0.0,559.7162163420701,29.35268817204301,79.5021505376344,108.85483870967741,58.25634565241623,375.4105237199109,501.4598706896538,5141.9,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSEQSHST,Non-Maintenance,,2023,2,0.0,0.0,195.147979219124,8.081720430107527,65.23870967741941,73.32043010752693,-6.321285357885742,130.74011222136528,201.46926457700977,2661.6,2021-07-01,2023-06-30
FP,true,Hi-Tech,MSMSCPSZ,Non-Maintenance,,2023,3,0.0,0.0,424.3152050183862,13.6,44.07741935483871,57.67741935483871,171.70401419438713,189.85199155508428,252.6111908239991,7356.7,2022-07-01,2023-06-30
FP,true,Hi-Tech,MSTMYSTP,Maintenance,,2023,3,0.0,0.0,116.0498892285401,5.247451612903228,0.0,5.247451612903228,52.1993149185824,57.73716470936137,63.85057430995769,22115.5,2022-07-01,2023-09-30
FP,true,Hi-Tech,MSAZNEPZ,Non-Maintenance,,2022,2,0.0,0.0,148.9517940449178,5.96666666666667,17.59677419354838,23.56344086021505,47.98818618322407,69.51296393122517,100.96360786169372,6321.3,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSSAPFIN,Non-Maintenance,,2024,2,0.0,0.0,849.7005263067525,23.52903225806452,76.68924731182796,100.2182795698925,320.00829395378184,432.64584277031247,529.6922323529707,8478.5,2022-07-01,2024-06-30
FP,true,Hi-Tech,MSSCUS5D,Non-Maintenance,,2023,1,0.0,0.0,195.96972265127886,6.0,32.00000000000001,38.00000000000001,31.664100202573046,123.88374030154887,164.3056224487058,5157.1,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSCRMBTC,Maintenance,,2023,4,0.0,0.0,744.3590185208413,21.75,157.9677419354839,179.7177419354839,205.08881644176608,325.3705709051369,539.2702020790753,4141.8,2022-07-01,2023-06-30
FP,true,Hi-Tech,MSAUD303,Maintenance,,2023,3,0.0,0.0,120.24920448427548,5.0,15.0,20.0,12.241982322461148,83.90842989213078,108.00722216181433,6012.5,2022-07-01,2023-06-30
FP,true,Hi-Tech,MSCCLCM2,Non-Maintenance,,2024,4,0.0,0.0,126.50886341172142,5.44827586206897,14.86651835372636,20.31479421579533,43.10940510800818,52.47808914436598,83.39945830371323,6227.4,2023-11-01,2024-02-29
FP,true,Hi-Tech,MSPEXSQD,Non-Maintenance,,2024,2,0.0,0.0,0.0,0.0,0.0,0.0,6.4799387859799005,-6.1690742311803035,-6.4799387859799005,-nan,2022-07-01,2023-06-30
FP,true,Hi-Tech,MSASKH31,Non-Maintenance,,2024,4,0.0,0.0,88.15379181057949,0.0,22.27586206896552,22.27586206896552,22.457772306964088,40.82453930683919,65.6960195036154,3957.4,2023-07-01,2026-06-30
FP,true,Hi-Tech,MSSUPPZ5,Maintenance,,2023,4,0.0,0.0,97.19882210662546,3.0,15.982142857142854,18.982142857142854,33.65815864644594,43.95326284352016,63.540663460179516,5120.5,2021-11-01,2023-06-30
FP,true,Hi-Tech,MSPEXSQD,Non-Maintenance,,2023,4,0.0,0.0,172.54207266865623,7.5207373271889395,4.10714285714286,11.627880184331799,58.89539315396871,101.21326904059862,113.64667951468752,14838.7,2022-07-01,2023-06-30
FP,true,Hi-Tech,MSLXPZQ1,Non-Maintenance,,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,21.934463974097383,-18.835247878186703,-21.934463974097383,-nan,2021-03-30,2021-09-30
OTM,true,Hi-Tech,MSDVBGSP,Non-Maintenance,TBB-T&M,2023,3,0.0,0.0,86.96423898957451,0.0,11.978494623655912,11.978494623655912,50.25519898571921,21.769014723323988,36.7090400038553,7260.0,2022-09-09,2023-05-31
FP,true,Hi-Tech,MSCEOCES,Non-Maintenance,,2022,1,0.0,0.0,-8.83583364661651,0.0,0.0,0.0,-1.2490182459879584,-18.135661731917832,-7.586815400628552,-inf,2020-07-01,2021-04-30
FP,true,Hi-Tech,MSINC401,Non-Maintenance,,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,23.556889929435467,-23.49033241374698,-23.556889929435467,-nan,2021-04-15,2022-06-30
FP,true,Hi-Tech,MSPS24ST,Non-Maintenance,,2025,1,0.0,0.0,317.31057970549296,0.0,83.1655913978494,83.1655913978494,157.69419146229367,77.53314611361279,159.61638824319928,3815.4,2023-07-01,2024-06-30
OTM,true,Hi-Tech,MSCSSCEP,Maintenance,TBB-T&M,2025,1,0.0,0.0,189.4041663822111,3.0,61.2612688172043,64.2612688172043,25.709906181572666,87.08910845867791,163.6942602006384,2947.4,2023-08-01,2026-06-30
FP,true,Hi-Tech,MSCSTSTP,Non-Maintenance,,2025,1,0.0,0.0,327.4816162178992,6.68709677419355,61.14623655913979,67.83333333333334,140.32265368049516,110.99982706960117,187.15896253740405,4827.7,2023-07-01,2024-07-01
FP,true,Hi-Tech,MSORUS4D,Maintenance,,2025,2,0.0,0.0,0.0,0.0,0.0,0.0,-1.5251933513382028,-0.026341020881101983,1.5251933513382028,-nan,2022-07-01,2024-06-30
OTM,true,Hi-Tech,MSCCNHST,Non-Maintenance,TBB-T&M,2025,3,0.0,0.0,317.28237521486506,0.0,116.96344086021512,116.96344086021512,52.81735470715407,142.21775099735876,264.46502050771096,2712.7,2023-05-08,2030-03-31
FP,true,Hi-Tech,MSAZMDPZ,Non-Maintenance,,2023,2,0.0,0.0,98.78738104929167,3.0,19.92741935483871,22.92741935483871,38.37907974363419,33.67889526390663,60.408301305657474,4308.7,2022-07-01,2023-04-01
OTM,true,Hi-Tech,MSCSFOM2,Maintenance,TBB-T&M,2024,3,0.0,0.0,191.5614683072395,15.0,11.48387096774193,26.48387096774193,51.36044239114874,109.5698625102021,140.20102591609077,7233.1,2023-08-01,2026-06-30
FP,true,Hi-Tech,MSCPTST1,Maintenance,,2024,1,0.0,0.0,311.29864555838253,10.505376344086025,27.648387096774204,38.153763440860224,143.59080587224145,127.29968601546054,167.70783968614109,8159.1,2022-07-01,2023-09-30
FP,true,Hi-Tech,MSCSMEDX,Non-Maintenance,,2022,3,0.0,0.0,665.5086503537632,39.438709677419354,22.516129032258064,61.95483870967742,71.38069078650514,513.2667004523954,594.127959567258,10741.8,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSCRMCMP,Non-Maintenance,,2023,2,0.0,0.0,99.5441189759036,0.0,0.0,0.0,162.5250032501116,-55.194647089222364,-62.98088427420801,inf,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSHCHZ,Non-Maintenance,,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,3.450831592626878,-3.382161252308096,-3.450831592626878,-nan,2022-09-26,2023-03-03
FP,true,Hi-Tech,MSSRDPZ7,Non-Maintenance,,2022,3,0.0,0.0,16.20156655338794,0.0,5.0,5.0,7.133481855073867,4.280661885938908,9.068084698314074,3240.3,2021-07-01,2021-12-31
FP,true,Hi-Tech,MSCRMDTP,Non-Maintenance,,2024,2,0.0,0.0,0.0,0.0,0.0,0.0,20.964220357193874,-20.20520233889631,-20.964220357193874,-nan,2021-07-01,2023-06-30
FP,true,Hi-Tech,MSIPDCEH,Maintenance,,2022,4,0.0,0.0,512.5926599008702,5.60944700460829,91.2327188940092,96.84216589861751,256.56760003666756,160.54394825386345,256.02505986420266,5293.1,2020-07-01,2022-06-30
FP,true,Hi-Tech,MSCAPHSP,Non-Maintenance,,2022,4,0.0,0.0,275.0742616711151,6.0,40.52188940092168,46.52188940092168,134.12195568789275,92.3530644596327,140.95230598322235,5912.8,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSCGAHYD,Non-Maintenance,,2023,1,0.0,0.0,288.6870505114522,10.606451612903225,62.64193548387097,73.2483870967742,60.14869943129621,153.14171444678553,228.53835108015596,3941.2,2020-12-01,2023-06-30
OTM,true,Hi-Tech,DYNXOL02,Non-Maintenance,TBB-T&M,2023,1,0.0,0.0,122.17247771436216,0.0,0.0,0.0,124.41971004357387,0.0,-2.2472323292117125,inf,2022-03-29,2025-09-30
FP,true,Hi-Tech,MSCRM3CP,Maintenance,,2023,2,0.0,0.0,-0.000994728915662651,0.0,0.0,0.0,-0.05065205882651605,0.0496573299108534,0.0496573299108534,-inf,2021-07-01,2022-06-30
FP,true,Hi-Tech,MSCRMOP1,Non-Maintenance,,2025,4,0.0,0.0,30.932774637851416,3.0,2.964285714285714,5.9642857142857135,-2.4670435231388286,26.315065842165886,33.39981816099024,5186.3,2022-07-01,2025-06-30
FP,false,HealthCare,MO1310B2,Non-Maintenance,,2025,1,0.0,0.0,3.725278525979386,0.0,3.000000000000003,3.000000000000003,-6.363472904363178,5.989971028466706,10.088751430342564,1241.8,2024-01-01,2024-08-17
FP,false,HealthCare,M31217MZ,Non-Maintenance,,2025,1,0.0,0.0,162.4335710127777,4.62258064516129,20.848924731182798,25.47150537634409,49.41931145418222,83.00999764615764,113.01425955859547,6377.1,2023-11-04,2024-06-15
FP,false,HealthCare,M31233MZ,Non-Maintenance,,2025,1,0.0,0.0,0.05978151641476074,0.0,1.5,1.5,-5.443830203017655,3.7337512167250737,5.503611719432416,39.9,2024-01-01,2024-04-30
TM,false,HealthCare,MOL311PM,Non-Maintenance,,2025,1,47.7957712037451,0.0,47.7957712037451,3.0,0.0,3.0,3.8051517526924727,40.39066953016177,43.99061945105262,15931.9,2024-01-01,2025-12-31
FP,false,HealthCare,AEILMO47,Maintenance,,2025,1,0.0,0.0,52.0936149783965,1.98387096774194,3.87096774193548,5.85483870967742,5.430735858308665,22.77851553820242,46.66287912008784,8897.5,2024-05-02,2024-05-31
TM,false,HealthCare,ML55TONN,Non-Maintenance,,2025,1,18.24983705804799,0.0,18.24983705804799,1.806451612903226,0.0,1.806451612903226,-8.719654221495919,24.85415295867382,26.96949127954391,10102.6,2023-09-01,2025-12-31
FP,false,HealthCare,M31406MZ,Non-Maintenance,,2025,1,0.0,0.0,43.8362290368951,0.0,5.600000000000002,5.600000000000002,34.061596430282655,3.240497244849067,9.774632606612442,7827.9,2024-06-03,2024-11-30
FP,false,HealthCare,MLONHCP2,Non-Maintenance,,2025,1,0.0,0.0,355.95404605903514,7.24268817204301,26.267741935483873,33.510430107526886,95.64965849873721,187.28332076003144,260.3043875602979,10622.2,2024-02-05,2024-10-21
FP,false,HealthCare,MOLNEXLC,Non-Maintenance,,2025,2,0.0,0.0,0.0,0.0,0.0,0.0,5.83958302237629,-5.83687975137461,-5.83958302237629,-nan,2021-06-14,2024-06-13
TM,false,HealthCare,MOLSPCON,Non-Maintenance,,2025,2,108.32893200743081,0.0,108.32893200743081,6.0,0.0,6.0,29.122735845494443,71.71447561272501,79.20619616193636,18054.8,2023-07-03,2025-03-31
FP,false,HealthCare,MOLMCMQZ,Non-Maintenance,,2025,3,0.0,0.0,-0.0772091897911155,0.0,0.0,0.0,4.773450477664254,-5.018921811461599,-4.8506596674553695,-inf,2024-05-30,2024-10-31
FP,false,HealthCare,M31420B1,Non-Maintenance,,2025,3,0.0,0.0,-0.19240562151189736,0.0,0.0,0.0,0.19516794682114122,-0.39117953599048205,-0.3875735683330386,-inf,2024-07-01,2024-09-06
FP,false,HealthCare,M31348MZ,Non-Maintenance,,2025,3,0.0,0.0,283.20333313004414,16.88602150537634,14.758064516129027,31.644086021505366,49.51905091593166,200.85958920302966,233.6842822141125,8949.6,2024-10-14,2025-01-31
FP,false,HealthCare,M31545MZ,Non-Maintenance,,2025,4,0.0,0.0,-0.06419106671259618,0.0,0.0,0.0,0.057375585238925816,-0.20129567471685095,-0.121566651951522,-inf,2024-10-22,2024-12-30
FP,false,HealthCare,M31211MZ,Non-Maintenance,,2025,4,0.0,0.0,-0.184549316798714,0.0,0.0,0.0,-0.184549316798714,0.0,0.0,-inf,2023-12-20,2024-03-31
FP,false,HealthCare,M31754MZ,Non-Maintenance,,2025,4,0.0,0.0,33.357546563029175,1.793778801843316,3.596774193548388,5.390552995391703,4.092483775151036,22.43199651699968,29.265062787878136,6188.1,2025-02-14,2025-05-25
FP,false,HealthCare,M22108MZ,Non-Maintenance,,2024,1,0.0,0.0,817.315699713143,30.099999999999994,84.30537634408603,114.40537634408602,313.38776536988075,386.0983914547123,503.9279343432622,7144.0,2023-02-22,2023-12-31
FP,false,HealthCare,M23109MZ,Non-Maintenance,,2024,1,0.0,0.0,357.9809057057279,11.595698924731181,43.7827956989247,55.37849462365587,110.76229022626168,182.75685699135425,247.2186154794662,6464.3,2023-04-13,2024-03-31
FP,false,HealthCare,M21119M1,Non-Maintenance,,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,2.2841629069261606,-2.281112603810458,-2.2841629069261606,-nan,2022-05-16,2023-03-28
TM,false,HealthCare,MOL92NEB,Non-Maintenance,,2024,1,321.0978202014596,0.0,321.0978202014596,23.53333333333333,0.0,23.53333333333333,136.53076469644927,159.03461759048173,184.56705550501036,13644.4,2022-12-26,2023-06-30
TM,false,HealthCare,MOL150DS,Non-Maintenance,,2024,1,45.0543835613041,0.0,45.0543835613041,3.0,0.0,3.0,17.802692704439643,24.02182920565592,27.251690856864457,15018.1,2023-02-13,2023-07-31
TM,false,HealthCare,MLDC1095,Non-Maintenance,,2024,1,-0.0506653265107212,0.0,-0.0506653265107212,0.566666666666667,0.0,0.566666666666667,-6.487499390838207,5.84682699805068,6.436834064327486,-89.4,2023-06-14,2025-04-30
FP,false,HealthCare,MHE224BS,Non-Maintenance,,2024,1,0.0,0.0,59.14882762515161,1.225806451612903,9.129032258064516,10.35483870967742,26.192430168516704,22.129638438836764,32.9563974566349,5712.2,2022-10-01,2023-06-30
FP,false,HealthCare,MOLKNMLZ,Non-Maintenance,,2024,1,0.0,0.0,21.58890387426902,1.0,2.0,3.0,6.473240497076028,11.891634502923978,15.115663377192991,7196.3,2023-06-01,2023-06-30
FP,false,HealthCare,MOLFPNMS,Maintenance,,2024,2,0.0,0.0,76.82012771935212,3.0,5.0,8.0,34.26249038367923,35.07165083402019,42.55763733567289,9602.5,2023-05-18,2023-07-31
FP,false,HealthCare,MHMC3PB5,Non-Maintenance,,2024,2,0.0,0.0,66.05675912643501,0.0,1.0,1.0,63.88260060711373,1.0058642246872653,2.1741585193212813,66056.8,2023-01-02,2023-09-30
